,generation,num_pad_units,pad_strength,pad_starting_pos,curvature,scale,result,binary,vertical_result,horizontal_result
0,0.0,4.0,234.0,1.0,-0.08166666666666667,1.192156862745098,322250292.16601396,3239308180.0,27709.623963758513,11629.544038110584
1,0.0,5.0,81.0,1.0,-0.15715686274509802,1.0949019607843138,128623523.50150457,4164350773.0,36875.95975389422,3488.004769500854
2,0.0,6.0,183.0,0.0,-0.13519607843137255,0.9207843137254902,13191422.48229906,4034212982.0,3746.3309344966488,3521.157824267716
3,0.0,5.0,55.0,0.0,0.04460784313725488,1.096470588235294,1510707.882552142,2659382565.0,1681.5900569973594,898.3805989253148
4,0.0,2.0,336.0,0.0,-0.035,1.12,313905.62958744477,3717935570.0,374.1475657207173,838.9888331433374
5,0.0,5.0,119.0,-1.0,0.14892156862745098,0.9913725490196079,24056014.350929514,3752979021.0,8536.631275401143,2817.975097536247
6,0.0,1.0,272.0,-1.0,0.16127450980392155,1.1231372549019607,17048656.10856989,198654633.0,6406.437577148465,2661.1757163422367
7,0.0,4.0,234.0,-1.0,0.12284313725490192,1.1466666666666667,1244304.0344070487,2875684500.0,1195.6187336820333,1040.7197540097786
8,0.0,5.0,81.0,0.0,-0.105,0.8737254901960785,6198424.751933318,885832757.0,2499.067355341529,2480.295194399122
9,0.0,5.0,247.0,0.0,-0.03774509803921569,1.1952941176470588,262725.2133841415,1368649885.0,735.7391179860799,357.09017906142134
10,1.0,5.0,81.0,0.0,0.07068627450980389,0.8737254901960785,3103405.4632284334,2664217653.0,1477.640358111207,2100.244112982512
11,1.0,7.0,259.0,0.0,-0.13107843137254901,1.096470588235294,139529.30248270667,880997799.0,397.0382162677754,351.4253710746162
12,1.0,4.0,234.0,-1.0,-0.14068627450980392,1.1466666666666667,221599.29086230174,4167530132.0,723.0404778141138,306.4825520311639
13,1.0,5.0,81.0,1.0,0.10637254901960785,1.0949019607843138,604472909.3862021,2872505141.0,36240.80240965883,16679.346736127984
14,1.0,1.0,247.0,0.0,-0.08166666666666667,1.1952941176470588,309797.54059041844,3239309465.0,616.9342247807425,502.15651547054307
15,1.0,4.0,234.0,1.0,-0.03774509803921569,1.192156862745098,479777022.26624537,1368648596.0,22017.836041826213,21790.380369571118
16,1.0,2.0,132.0,-1.0,0.14892156862745098,0.9913725490196079,285647386.30829895,3752979026.0,86197.12469066084,3313.8853219688413
17,1.0,5.0,374.0,0.0,-0.035,1.12,111773.27693329689,3717935597.0,345.7710321480661,323.2580712123777
18,1.0,6.0,183.0,0.0,0.16127450980392155,0.9207843137254902,47525283.76989534,198521974.0,6902.041268623073,6885.68525168735
19,1.0,1.0,272.0,-1.0,-0.13519607843137255,1.1231372549019607,212234.97786629,4034345641.0,229.42221176012916,925.0846996810877
20,2.0,4.0,234.0,-1.0,0.14892156862745098,0.996078431372549,65716592.52471821,3752982164.0,23906.80901859279,2748.865081643022
21,2.0,2.0,196.0,-1.0,-0.14068627450980392,1.1419607843137254,466245.8201190697,4167527034.0,592.4394296155492,786.9932297072629
22,2.0,1.0,272.0,-1.0,-0.03774509803921569,1.192156862745098,203061.55413341397,1368648361.0,229.42221176012916,885.0998016954156
23,2.0,4.0,234.0,1.0,-0.13519607843137255,1.1231372549019607,168803809.9764192,4034345876.0,45334.89048618399,3723.485557505933
24,2.0,1.0,247.0,0.0,-0.08166666666666667,1.1952941176470588,415876.1916123237,823390361.0,580.2586494053617,716.7083024759836
25,2.0,7.0,208.0,0.0,-0.13107843137254901,1.096470588235294,121512.71327948717,3296916871.0,345.7710321480661,351.4253710746162
26,2.0,5.0,374.0,0.0,0.07068627450980389,0.8737254901960785,494778.9117588882,2664217837.0,1246.1745280086423,397.0382162677754
27,2.0,5.0,94.0,0.0,-0.035,1.12,545803.7655103725,3717935421.0,723.0404778141138,754.8730427381313
28,2.0,4.0,183.0,0.0,0.10637254901960785,1.0949019607843138,1304035.6836291018,2872504436.0,1167.0072214548138,1117.418692579696
29,2.0,5.0,81.0,1.0,0.16127450980392155,0.9207843137254902,448481711.4176057,198522677.0,29837.319921782157,15030.89796916379
30,3.0,5.0,81.0,1.0,0.16127450980392155,0.9207843137254902,473257873.7175345,3688183605.0,30327.978257866165,15604.662786738369
31,3.0,4.0,234.0,-1.0,0.14892156862745098,0.996078431372549,71110474.43600513,263321236.0,27618.037452633736,2574.7837643410767
32,3.0,5.0,374.0,0.0,-0.035,1.12,109836.19315430721,3717935341.0,345.7710321480661,317.65585587653607
