,generation,num_pad_units,pad_strength,result
0,0.0,0.0,43.0,858.6800514367444
1,0.0,2.0,145.0,431.6921381195571
2,0.0,0.0,196.0,898.3805989253148
3,0.0,2.0,68.0,397.0382162677754
4,1.0,0.0,196.0,845.5408345662789
5,1.0,0.0,43.0,1075.398284491205
6,1.0,0.0,196.0,898.3805989253148
7,1.0,0.0,43.0,972.2768599730944
8,2.0,0.0,43.0,979.0666551280952
9,2.0,0.0,43.0,938.5082690444507
10,2.0,0.0,43.0,938.5082690444507
11,2.0,0.0,43.0,931.7905105711629
12,3.0,0.0,43.0,1103.3624511778646
13,3.0,0.0,43.0,1103.3624511778646
14,3.0,0.0,43.0,891.7342763633312
15,3.0,0.0,43.0,1013.1969405291435
16,4.0,0.0,43.0,871.86632989475
17,4.0,0.0,43.0,972.2768599730944
18,4.0,0.0,43.0,972.2768599730944
19,4.0,0.0,43.0,951.9796955136053
20,5.0,0.0,43.0,992.6824567941081
21,5.0,0.0,43.0,938.5082690444507
22,5.0,0.0,43.0,1040.7197540097786
23,5.0,0.0,43.0,1040.7197540097786
