,generation,num_pad_units,pad_strength,pad_starting_pos,curvature,scale,result,binary,vertical_result,horizontal_result
0,0.0,1.0,400.0,1.0,0.12284313725490192,0.9537254901960784,2610403368.7094364,3009776633.0,87917.79994857582,29691.409137129143
1,0.0,2.0,323.0,1.0,0.12833333333333335,0.8721568627450981,2192329954.170916,3077880778.0,76928.65386999954,28498.223274200252
2,0.0,1.0,30.0,1.0,0.10088235294117648,1.0180392156862745,2325510505.8150444,3072732945.0,78707.8979869772,29546.08832521251
3,0.0,1.0,285.0,1.0,0.12833333333333335,0.8721568627450981,4676472637.114764,1198832561.0,90683.88872383113,51568.94684298886
4,0.0,2.0,349.0,1.0,0.1022549019607843,1.091764705882353,2515672928.2537246,3073043418.0,81214.12596964337,30975.804987349686
5,0.0,1.0,285.0,1.0,0.12833333333333335,0.8721568627450981,4736442553.381514,3077880753.0,91708.90909397484,51646.48233388147
6,0.0,1.0,30.0,1.0,0.10088235294117648,1.0180392156862745,2096512044.9577801,1462120209.0,70264.75737277135,29837.319921782157
7,0.0,1.0,400.0,1.0,0.12284313725490192,0.9537254901960784,8676141490.385386,1130728441.0,113429.23121635607,76489.4674621961
8,0.0,2.0,349.0,1.0,0.1022549019607843,1.091764705882353,2455991004.939321,1999301594.0,93790.18381000677,26186.013345644853
9,0.0,1.0,400.0,1.0,0.12284313725490192,0.9537254901960784,2802216798.55688,1130728441.0,98491.59122519387,28451.33034910376
10,0.0,2.0,323.0,1.0,0.12833333333333335,0.8721568627450981,5485393763.274821,527743946.0,95112.4143493928,57672.7423102139
11,0.0,5.0,400.0,1.0,0.12284313725490192,0.9537254901960784,554373214.8615397,2204470269.0,32514.756250455022,17049.896071534647
12,0.0,1.0,234.0,1.0,0.10088235294117648,1.0180392156862745,2535018602.406123,1126576017.0,78595.63263007067,32253.937242770226
13,0.0,1.0,30.0,1.0,0.10088235294117648,1.0180392156862745,2177060941.835336,2737188625.0,72845.29569705237,29886.088332858937
14,0.0,7.0,400.0,1.0,0.061078431372549036,0.9317647058823529,117726592.59811012,3803272191.0,11374.29688993989,10350.230325202307
15,0.0,2.0,349.0,1.0,0.12284313725490192,0.9537254901960784,2599927196.376617,1130728410.0,73582.71926665613,35333.39379528433
16,0.0,2.0,349.0,1.0,0.12284313725490192,0.9537254901960784,2262718498.887384,2741341146.0,69255.39553496646,32672.089754291515
17,0.0,2.0,387.0,1.0,0.03637254901960782,0.8894117647058823,781835002.562557,4066961394.0,24357.532599347458,32098.28414982815
18,0.0,2.0,349.0,1.0,0.1022549019607843,1.091764705882353,2463060246.638948,3073043418.0,81214.12596964337,30327.978257866165
19,0.0,1.0,285.0,1.0,0.1242156862745098,1.091764705882353,1215499773.6961346,3748326321.0,41206.48482213533,29497.778782702462
20,0.0,2.0,400.0,1.0,0.1242156862745098,1.091764705882353,974128371.2585635,3748326394.0,76599.05472925876,12717.237499883571
21,0.0,4.0,349.0,1.0,0.030882352941176472,0.8752941176470589,1129908302.2216718,307807196.0,41527.06310029906,27208.96249013898
22,0.0,2.0,349.0,1.0,0.1242156862745098,1.091764705882353,1135400132.4857404,527100890.0,84866.35449076879,13378.683923665438
23,0.0,3.0,259.0,1.0,0.03637254901960782,0.8894117647058823,954658999.1922054,308864931.0,31943.256961553714,29886.088332858937
24,0.0,4.0,81.0,1.0,0.1695098039215686,1.1184313725490196,1034191556.6414607,3153014580.0,56824.218826811855,18199.837639536352
25,0.0,2.0,349.0,1.0,0.1242156862745098,1.091764705882353,1369813836.7627082,3077237722.0,93396.7462162349,14666.611978015539
26,0.0,2.0,361.0,1.0,0.03637254901960782,0.8894117647058823,1354840247.4847717,845735906.0,25880.988336958726,52348.86047802219
27,0.0,4.0,81.0,1.0,0.1695098039215686,1.1184313725490196,907497776.4189808,3085905716.0,52742.63772124755,17206.150765823233
28,0.0,2.0,5.0,1.0,0.03637254901960782,0.8894117647058823,1277310503.8223672,308864770.0,26671.255752085945,47890.90231428152
29,0.0,7.0,132.0,1.0,0.12284313725490192,1.0180392156862745,285632851.8314582,526790487.0,18931.70088487774,15087.543035270324
30,0.0,4.0,234.0,1.0,0.12284313725490192,0.9537254901960784,634158603.6944462,1130728340.0,33737.30648326831,18796.954167308853
