[7.00s] 	HorizontalForce final force:802.33N
[12.17s] 	HorizontalForce final force:1923.70N
[11.52s] 	HorizontalForce final force:1755.10N
[11.52s] 	HorizontalForce final force:1755.10N
[11.38s] 	HorizontalForce final force:1719.93N
[12.17s] 	HorizontalForce final force:1923.70N
[12.22s] 	HorizontalForce final force:1937.04N
[7.43s] 	HorizontalForce final force:878.15N
[12.17s] 	HorizontalForce final force:1923.70N
[12.22s] 	HorizontalForce final force:1937.04N
[7.98s] 	HorizontalForce final force:979.31N
[12.17s] 	HorizontalForce final force:1923.70N
[9.85s] 	HorizontalForce final force:1360.71N
[7.92s] 	HorizontalForce final force:968.05N
[10.75s] 	HorizontalForce final force:1566.54N
[12.17s] 	HorizontalForce final force:1923.70N
[11.37s] 	HorizontalForce final force:1717.44N
[7.19s] 	HorizontalForce final force:835.48N
[7.93s] 	HorizontalForce final force:969.92N
[11.08s] 	HorizontalForce final force:1645.91N
[9.85s] 	HorizontalForce final force:1360.71N
[7.19s] 	HorizontalForce final force:835.48N
[10.75s] 	HorizontalForce final force:1566.54N
[7.45s] 	HorizontalForce final force:881.75N
[12.80s] 	HorizontalForce final force:2095.73N
[11.29s] 	HorizontalForce final force:1697.54N
[11.55s] 	HorizontalForce final force:1762.69N
[14.74s] 	HorizontalForce final force:2682.87N
[11.56s] 	HorizontalForce final force:1765.22N
