[10.00s] 	VerticalForce final force:895.00N
[5.35s] 	VerticalForce final force:430.00N
[5.25s] 	VerticalForce final force:424.00N
[6.67s] 	VerticalForce final force:566.00N
[5.63s] 	VerticalForce final force:578.81N
[6.93s] 	VerticalForce final force:790.25N
[5.86s] 	VerticalForce final force:614.48N
[6.71s] 	VerticalForce final force:752.76N
[5.71s] 	VerticalForce final force:591.14N
[5.74s] 	VerticalForce final force:595.78N
[5.32s] 	VerticalForce final force:531.87N
[5.77s] 	VerticalForce final force:600.44N
[6.09s] 	VerticalForce final force:650.89N
[4.54s] 	VerticalForce final force:419.35N
[6.93s] 	VerticalForce final force:790.25N
[6.16s] 	VerticalForce final force:662.11N
[7.24s] 	VerticalForce final force:844.30N
