[6.74s] 	VerticalForce final force:757.83N
[7.10s] 	VerticalForce final force:819.71N
[6.84s] 	VerticalForce final force:774.82N
[6.81s] 	VerticalForce final force:769.71N
[6.86s] 	VerticalForce final force:778.24N
[6.90s] 	VerticalForce final force:785.09N
[7.10s] 	VerticalForce final force:819.71N
[6.94s] 	VerticalForce final force:791.97N
[7.02s] 	VerticalForce final force:805.79N
[6.77s] 	VerticalForce final force:762.91N
[6.94s] 	VerticalForce final force:791.97N
[6.99s] 	VerticalForce final force:800.60N
[6.91s] 	VerticalForce final force:786.81N
[6.80s] 	VerticalForce final force:768.01N
[6.77s] 	VerticalForce final force:762.91N
[6.44s] 	VerticalForce final force:707.71N
[7.02s] 	VerticalForce final force:805.79N
[7.43s] 	VerticalForce final force:878.15N
[6.72s] 	VerticalForce final force:754.44N
[6.71s] 	VerticalForce final force:752.76N
[6.78s] 	VerticalForce final force:764.61N
[6.95s] 	VerticalForce final force:793.69N
[7.20s] 	VerticalForce final force:837.24N
[7.14s] 	VerticalForce final force:826.71N
[6.61s] 	VerticalForce final force:735.95N
[6.40s] 	VerticalForce final force:701.13N
[7.01s] 	VerticalForce final force:804.06N
[7.20s] 	VerticalForce final force:837.24N
