[16.51s] 	HorizontalForce final force:3301.91N
[16.11s] 	HorizontalForce final force:3154.54N
[17.02s] 	HorizontalForce final force:3496.49N
[16.17s] 	HorizontalForce final force:3176.35N
[16.56s] 	HorizontalForce final force:3320.66N
[15.44s] 	HorizontalForce final force:2917.61N
[15.77s] 	HorizontalForce final force:3032.78N
[15.93s] 	HorizontalForce final force:3089.68N
[16.05s] 	HorizontalForce final force:3132.82N
[16.11s] 	HorizontalForce final force:3154.54N
[15.14s] 	HorizontalForce final force:2815.44N
[16.11s] 	HorizontalForce final force:3154.54N
[15.83s] 	HorizontalForce final force:3054.03N
[15.92s] 	HorizontalForce final force:3086.10N
[16.45s] 	HorizontalForce final force:3279.52N
[15.14s] 	HorizontalForce final force:2815.44N
[15.92s] 	HorizontalForce final force:3086.10N
[15.78s] 	HorizontalForce final force:3036.31N
[16.26s] 	HorizontalForce final force:3209.27N
[16.05s] 	HorizontalForce final force:3132.82N
[16.11s] 	HorizontalForce final force:3154.54N
