[10.25s] 	HorizontalForce final force:1450.31N
[7.79s] 	HorizontalForce final force:943.83N
[8.43s] 	HorizontalForce final force:1065.68N
[10.13s] 	HorizontalForce final force:1423.12N
[8.62s] 	HorizontalForce final force:1103.15N
[8.80s] 	HorizontalForce final force:1139.21N
[8.16s] 	HorizontalForce final force:1013.47N
[9.73s] 	HorizontalForce final force:1334.40N
[8.55s] 	HorizontalForce final force:1089.28N
[8.16s] 	HorizontalForce final force:1013.47N
[11.97s] 	HorizontalForce final force:1870.88N
[8.86s] 	HorizontalForce final force:1151.35N
[8.88s] 	HorizontalForce final force:1155.41N
[8.55s] 	HorizontalForce final force:1089.28N
[14.89s] 	HorizontalForce final force:2732.10N
[10.41s] 	HorizontalForce final force:1486.99N
[10.66s] 	HorizontalForce final force:1545.27N
[7.04s] 	HorizontalForce final force:809.26N
[8.63s] 	HorizontalForce final force:1105.14N
[6.90s] 	HorizontalForce final force:785.09N
[13.45s] 	HorizontalForce final force:2282.52N
[7.72s] 	HorizontalForce final force:930.90N
[8.29s] 	HorizontalForce final force:1038.46N
[6.71s] 	HorizontalForce final force:752.76N
[7.31s] 	HorizontalForce final force:856.71N
[7.24s] 	HorizontalForce final force:844.30N
[8.43s] 	HorizontalForce final force:1065.68N
[7.24s] 	HorizontalForce final force:844.30N
[11.17s] 	HorizontalForce final force:1667.93N
[6.84s] 	HorizontalForce final force:774.82N
[8.45s] 	HorizontalForce final force:1069.60N
[6.87s] 	HorizontalForce final force:779.95N
[6.74s] 	HorizontalForce final force:757.83N
