[5.32s] 	VerticalForce final force:531.87N
[4.55s] 	VerticalForce final force:420.74N
[5.92s] 	VerticalForce final force:623.91N
[4.45s] 	VerticalForce final force:406.86N
[4.60s] 	VerticalForce final force:427.72N
[5.84s] 	VerticalForce final force:611.35N
[4.45s] 	VerticalForce final force:406.86N
[7.31s] 	VerticalForce final force:856.71N
[4.60s] 	VerticalForce final force:427.72N
[4.73s] 	VerticalForce final force:446.03N
[4.68s] 	VerticalForce final force:438.97N
[6.22s] 	VerticalForce final force:671.79N
[5.85s] 	VerticalForce final force:612.92N
[4.73s] 	VerticalForce final force:446.03N
[4.58s] 	VerticalForce final force:424.93N
[4.73s] 	VerticalForce final force:446.03N
[4.53s] 	VerticalForce final force:417.95N
[4.75s] 	VerticalForce final force:448.87N
[5.91s] 	VerticalForce final force:622.33N
