[6.90s] 	VerticalForce final force:785.09N
[7.13s] 	VerticalForce final force:824.95N
[6.82s] 	VerticalForce final force:771.41N
[6.86s] 	VerticalForce final force:778.24N
[6.71s] 	VerticalForce final force:752.76N
[6.85s] 	VerticalForce final force:776.53N
[6.25s] 	VerticalForce final force:676.65N
[6.57s] 	VerticalForce final force:729.27N
[7.04s] 	VerticalForce final force:809.26N
[6.76s] 	VerticalForce final force:761.21N
[7.34s] 	VerticalForce final force:862.05N
[7.13s] 	VerticalForce final force:824.95N
[6.79s] 	VerticalForce final force:766.31N
[6.55s] 	VerticalForce final force:725.94N
[6.86s] 	VerticalForce final force:778.24N
[7.01s] 	VerticalForce final force:804.06N
[6.65s] 	VerticalForce final force:742.65N
[6.63s] 	VerticalForce final force:739.30N
[6.86s] 	VerticalForce final force:778.24N
[6.25s] 	VerticalForce final force:676.65N
[7.03s] 	VerticalForce final force:807.53N
[6.81s] 	VerticalForce final force:769.71N
[6.75s] 	VerticalForce final force:759.52N
[7.03s] 	VerticalForce final force:807.53N
[6.56s] 	VerticalForce final force:727.60N
[7.03s] 	VerticalForce final force:807.53N
[7.02s] 	VerticalForce final force:805.79N
[7.03s] 	VerticalForce final force:807.53N
[6.96s] 	VerticalForce final force:795.41N
[6.76s] 	VerticalForce final force:761.21N
[7.73s] 	VerticalForce final force:932.74N
