[15.20s] 	HorizontalForce final force:2835.69N
[15.88s] 	HorizontalForce final force:3071.82N
[15.30s] 	HorizontalForce final force:2869.64N
[16.17s] 	HorizontalForce final force:3176.35N
[15.52s] 	HorizontalForce final force:2945.26N
[15.66s] 	HorizontalForce final force:2994.06N
[14.88s] 	HorizontalForce final force:2728.80N
[15.64s] 	HorizontalForce final force:2987.06N
[15.85s] 	HorizontalForce final force:3061.14N
[15.66s] 	HorizontalForce final force:2994.06N
[15.66s] 	HorizontalForce final force:2994.06N
[15.39s] 	HorizontalForce final force:2900.42N
[14.98s] 	HorizontalForce final force:2761.92N
[15.68s] 	HorizontalForce final force:3001.08N
[15.66s] 	HorizontalForce final force:2994.06N
[15.51s] 	HorizontalForce final force:2941.80N
[15.54s] 	HorizontalForce final force:2952.20N
[15.61s] 	HorizontalForce final force:2976.57N
[15.66s] 	HorizontalForce final force:2994.06N
[15.66s] 	HorizontalForce final force:2994.06N
[15.30s] 	HorizontalForce final force:2869.64N
[14.78s] 	HorizontalForce final force:2695.94N
[14.98s] 	HorizontalForce final force:2761.92N
[15.82s] 	HorizontalForce final force:3050.48N
[15.86s] 	HorizontalForce final force:3064.70N
[15.14s] 	HorizontalForce final force:2815.44N
[15.66s] 	HorizontalForce final force:2994.06N
[15.29s] 	HorizontalForce final force:2866.23N
[15.45s] 	HorizontalForce final force:2921.06N
[15.48s] 	HorizontalForce final force:2931.42N
[15.66s] 	HorizontalForce final force:2994.06N
[15.41s] 	HorizontalForce final force:2907.29N
[15.66s] 	HorizontalForce final force:2994.06N
