[16.38s] 	HorizontalForce final force:3253.52N
[15.91s] 	HorizontalForce final force:3082.53N
[16.01s] 	HorizontalForce final force:3118.39N
[16.48s] 	HorizontalForce final force:3290.70N
[16.12s] 	HorizontalForce final force:3158.16N
[16.75s] 	HorizontalForce final force:3392.53N
[16.42s] 	HorizontalForce final force:3268.36N
[15.93s] 	HorizontalForce final force:3089.68N
[16.48s] 	HorizontalForce final force:3290.70N
[15.86s] 	HorizontalForce final force:3064.70N
[15.81s] 	HorizontalForce final force:3046.94N
[16.10s] 	HorizontalForce final force:3150.91N
[15.63s] 	HorizontalForce final force:2983.56N
[16.09s] 	HorizontalForce final force:3147.28N
[16.67s] 	HorizontalForce final force:3362.14N
[16.42s] 	HorizontalForce final force:3268.36N
[15.69s] 	HorizontalForce final force:3004.59N
[15.74s] 	HorizontalForce final force:3022.19N
[15.63s] 	HorizontalForce final force:2983.56N
[15.86s] 	HorizontalForce final force:3064.70N
[16.56s] 	HorizontalForce final force:3320.66N
