[6.12s] 	VerticalForce final force:511.00N
[5.68s] 	VerticalForce final force:467.00N
[5.86s] 	VerticalForce final force:614.48N
[5.24s] 	VerticalForce final force:519.96N
[5.51s] 	VerticalForce final force:560.49N
[5.46s] 	VerticalForce final force:552.91N
[5.59s] 	VerticalForce final force:572.68N
[5.62s] 	VerticalForce final force:577.28N
[5.51s] 	VerticalForce final force:560.49N
[4.37s] 	VerticalForce final force:395.85N
[4.88s] 	VerticalForce final force:467.43N
[5.84s] 	VerticalForce final force:611.35N
[4.60s] 	VerticalForce final force:427.72N
[5.51s] 	VerticalForce final force:560.49N
[5.48s] 	VerticalForce final force:555.93N
[4.28s] 	VerticalForce final force:383.56N
[6.23s] 	VerticalForce final force:673.41N
[4.53s] 	VerticalForce final force:417.95N
