[5.69s] 	VerticalForce final force:468.00N
[41.06s] 	VerticalForce final force:400.50N
[5.73s] 	VerticalForce final force:472.00N
[4.13s] 	VerticalForce final force:312.00N
[5.63s] 	VerticalForce final force:578.81N
[5.18s] 	VerticalForce final force:511.09N
[5.18s] 	VerticalForce final force:511.09N
[5.66s] 	VerticalForce final force:583.42N
[5.39s] 	VerticalForce final force:542.35N
[5.39s] 	VerticalForce final force:542.35N
[3.95s] 	VerticalForce final force:339.35N
[5.18s] 	VerticalForce final force:511.09N
[5.21s] 	VerticalForce final force:515.52N
[5.18s] 	VerticalForce final force:511.09N
