[25.12s] 	VerticalForce final force:7817.56N
[23.85s] 	VerticalForce final force:6960.81N
[23.80s] 	VerticalForce final force:6928.65N
[23.75s] 	VerticalForce final force:6896.60N
[24.71s] 	VerticalForce final force:7532.42N
[24.04s] 	VerticalForce final force:7084.08N
[24.20s] 	VerticalForce final force:7189.20N
[24.38s] 	VerticalForce final force:7308.91N
[24.63s] 	VerticalForce final force:7477.75N
[24.34s] 	VerticalForce final force:7282.17N
[24.92s] 	VerticalForce final force:7677.43N
[24.22s] 	VerticalForce final force:7202.43N
[24.68s] 	VerticalForce final force:7511.89N
[25.52s] 	VerticalForce final force:8103.88N
[25.23s] 	VerticalForce final force:7895.49N
[25.00s] 	VerticalForce final force:7733.24N
[24.04s] 	VerticalForce final force:7084.08N
[19.02s] 	VerticalForce final force:4336.44N
[24.04s] 	VerticalForce final force:7084.08N
[24.86s] 	VerticalForce final force:7635.78N
[25.60s] 	VerticalForce final force:8162.13N
