[7.01s] 	VerticalForce final force:804.06N
[6.89s] 	VerticalForce final force:783.38N
[6.72s] 	VerticalForce final force:754.44N
[6.74s] 	VerticalForce final force:757.83N
[6.95s] 	VerticalForce final force:793.69N
[6.85s] 	VerticalForce final force:776.53N
[6.95s] 	VerticalForce final force:793.69N
[6.47s] 	VerticalForce final force:712.67N
[6.80s] 	VerticalForce final force:768.01N
[6.89s] 	VerticalForce final force:783.38N
[7.10s] 	VerticalForce final force:819.71N
[6.49s] 	VerticalForce final force:715.98N
[6.72s] 	VerticalForce final force:754.44N
[6.88s] 	VerticalForce final force:781.66N
[7.00s] 	VerticalForce final force:802.33N
[7.05s] 	VerticalForce final force:811.00N
[6.79s] 	VerticalForce final force:766.31N
[7.04s] 	VerticalForce final force:809.26N
[7.00s] 	VerticalForce final force:802.33N
[6.68s] 	VerticalForce final force:747.70N
[6.91s] 	VerticalForce final force:786.81N
[6.52s] 	VerticalForce final force:720.95N
[6.80s] 	VerticalForce final force:768.01N
[7.06s] 	VerticalForce final force:812.74N
[6.56s] 	VerticalForce final force:727.60N
[6.50s] 	VerticalForce final force:717.63N
[6.47s] 	VerticalForce final force:712.67N
[6.36s] 	VerticalForce final force:694.57N
[6.85s] 	VerticalForce final force:776.53N
[6.63s] 	VerticalForce final force:739.30N
