[25.75s] 	VerticalForce final force:8272.24N
[25.54s] 	VerticalForce final force:8118.41N
[25.52s] 	VerticalForce final force:8103.88N
[24.16s] 	VerticalForce final force:7162.81N
[25.37s] 	VerticalForce final force:7995.55N
[27.08s] 	VerticalForce final force:9301.35N
[26.10s] 	VerticalForce final force:8533.75N
[27.40s] 	VerticalForce final force:9563.68N
[24.89s] 	VerticalForce final force:7656.58N
[25.45s] 	VerticalForce final force:8053.19N
[25.47s] 	VerticalForce final force:8067.64N
[24.83s] 	VerticalForce final force:7615.02N
[24.99s] 	VerticalForce final force:7726.25N
[22.14s] 	VerticalForce final force:5924.20N
[25.73s] 	VerticalForce final force:8257.49N
[25.52s] 	VerticalForce final force:8103.88N
[23.28s] 	VerticalForce final force:6600.94N
[25.81s] 	VerticalForce final force:8316.61N
[25.40s] 	VerticalForce final force:8017.13N
[24.89s] 	VerticalForce final force:7656.58N
[25.53s] 	VerticalForce final force:8111.14N
[24.79s] 	VerticalForce final force:7587.41N
